
###########FESTIVAL LOCALIZATIONS###############
hold_mahashivaratri;Reflect on Mahashivaratri;;;;;;;;;;;;;x
hold_mahashivaratri_desc;As the night descends across your realm you feel compelled to attend to "The Great Night of Shiva", a vigil of solemn reflection and dance in honor of the Lord Shiva.;;;;;;;;;;;;;x

celebrating_mahashivaratri;Celebrating Mahashivaratri;;;;;;;;;;;;;x
celebrating_mahashivaratri_desc;This character is partaking in the solemn night of Mahashivaratri;;;;;;;;;;;;;x

hold_diwali_feast;Hold Diwali Feast;Organiser le Diwali;Veranstaltet ein Diwali-Fest;;Organizar Festival Diwali;;;;;;;;;x
EVTOPTA_HINDU_24;I shall become the Peserver of Life...;;;;;;;;;;;;;x
EVTOPTB_HINDU_24;I shall devote myself to a pious life...;;;;;;;;;;;;;x
EVTOPTC_HINDU_24;I shall become the Bearer of Knowledge...;;;;;;;;;;;;;x

EVT_TITLE_HINDU_25;A Great Night;;;;;;;;;;;;;x
EVTDESC_HINDU_25;Time has come to return to the functions as ruler of the realm having spent many days contemplating on your life and devotion in service of Lord Shiva. You hope that through your efforts you have gained a new introspection in what you must do in your life. Whether you will be a better more virtuous leader will be known when you stand before Lord Shiva to contemplate on the life you have lived.;;;;;;;;;;;;;x
EVTOPTA_HINDU_25;A night worth remembering...;;;;;;;;;;;;;x

##########MANTRAMARGA BRANCH TRAITS#############
lingayat;Lingayat;;;;;;;;;;;;;x
lingayat_desc;A follower of Lingayatism, a devotionalist sect of Shavism.;;;;;;;;;;;;;x
natha;Natha;;;;;;;;;;;;;x
natha_desc;A follower of the Natha school of Shaivism, a non-dual tantric system of Hatha Yoga practitioners.;;;;;;;;;;;;;x
siddhanta;Siddhanta;;;;;;;;;;;;;x
siddhanta_desc;A follower of Shaiva Siddhanta, believing in salvation through Shiva's grace.;;;;;;;;;;;;;x
vegetarian;Vegetarian;;;;;;;;;;;;;x
vegetarian_desc;this character has committed to a vegetarian diet.;;;;;;;;;;;;;x
shudra;Shudra;;;;;;;;;;;;;x
shudra_desc;This character is a member of the Shudra Caste, tending to be laborers ;;;;;;;;;;;;;x
dalit;Dalit;;;;;;;;;;;;;x
dalit_desc;this character is a member of the Dalit, or Untouchables, born without a caste.;;;;;;;;;;;;;x
taking_sallekhana_vow;Taking Sallekhana vow;;;;;;;;;;;;;x
taking_sallekhana_vow_desc;This character has decided take a pious vow and will fast till death.;;;;;;;;;;;;;x
DEATH_SALLEKHANA;Took Sallekhana vow;;;;;;;;;;;;;x
EVTDESC_HINDU_1;As a Mantramarga faithful, it is my duty to choose which path of devotion to Shiva I shall follow.;;;;;;;;;;;;;x
EVTOPTA_HINDU_1;Lingayatism, as I shall entirely devote myself to Shiva through daily meditating;;;;;;;;;;;;;x
EVTOPTB_HINDU_1;The path of Natha, focusing my practice on Hatha Yoga and tantrism.;;;;;;;;;;;;;x
EVTOPTC_HINDU_1;Shaiva Siddhanta, aiming for enlightenment through Shiva's perfection.;;;;;;;;;;;;;x


#####Yatra (Indian Pilgrimage)#####
go_on_yatra;Go on Yatra;;;;;;;;;;;;;x
go_on_yatra_desc;As a Hindu, there are many holy places to visit across the Subcontinent that it will take a lifetime to visit so choose wisely who you wish to dedicate your time to.;;;;;;;;;;;;;x
go_on_yatra_jain;Go to the Siddhakshetras;;;;;;;;;;;;;x
go_on_yatra_jain_desc;As a Jain, there are many holy places to visit across the Subcontinent that it will take a lifetime to visit so choose wisely where you wish to dedicate your time to.;;;;;;;;;;;;;x

EVTTITLE_YATRA;Journey to the Holy Places;;;;;;;;;;;;;x
EVTDESC_hindu30;The Subcontinent is a wide and diverse place. Having a rich history of holy temples, sacred places and other features that have great spiritual significance for all Hindus. Whether it be for the mythical homes of the gods or the dedications to pious sages and proud warrior-kings as a pious Hindu you may visit these blessed places anytime...;;;;;;;;;;;;;x
EVTOPTA_CHARDHAM;I shall endeavor towards Moksha!;;;;;;;;;;;;;x

EVTTITLE_CHARDHAM;The Four Great Lords;;;;;;;;;;;;;x
EVTDESC_hindu31;The Char Dham is a dedicated yatra to the holiest abodes of Hinduism. Each of the four seats contain their own circuit of temples and trails that the pious follow to connect to the great pantheon of gods that call the Subcontinent home. High in the hills of Devbhumi, the grove of Badari trees said to have once housed Lord Vishnu in deep meditation before being awaken by Lady Lakshmi, his beloved. Dwarka, the shiny capital of ancient Dvaraka where Lord Krishna, The Compassionate Lord, who splendor radiates across the hearts of all. In the Distant Eastern Ghat, the Odia hold great parades to celebrate Jagannath, so claimed as the "Lord of the Universe" of their forest lands. Even in the distant south the Tamil proudly house the Grand City of Lord Rama, an avatar of Lord Shiva who wields his trishula proudly and courageously before the raging tides.;;;;;;;;;;;;;x
EVTOPTA_CHARDHAM_BARDINATH;I heard Lord Vishnu once meditated there!;;;;;;;;;;;;;x
EVTOPTB_CHARDHAM_DWARKA;To the Blessed Capital of Lord Krishna, I go!;;;;;;;;;;;;;x
EVTOPTC_CHARDHAM_JAGANNATH;To the cosmic abode of Jagannath, I go!;;;;;;;;;;;;;x
EVTOPTD_CHARDHAM_RAMESWARAM;I shall visit the City of Lord Shiva!;;;;;;;;;;;;;x

EVTDESC_yatratobadrinath;You prepare yourself to head to Garhwal to attend the circuit of Lord Vishnu where you hope to gaze upon a fraction of The Preserver's vast wisdom.;;;;;;;;;;;;;x
EVTDESC_yatratodwarka;You prepare yourself to head to Dwarka to attend the circuit of Lord Krishna where you hope to understand just a bit of how compassionate he is.;;;;;;;;;;;;;x
EVTDESC_yatratojagannath;You prepare yourself to head to Eastern Ghat to attend the witness the procession of Lord Jagannath and seek wisdom among the old stone temples.;;;;;;;;;;;;;x
EVTDESC_yatratorameswaram;You prepare yourself to head to Southern Country to attend the circuit of Lord Shiva where you hope to gain insight into the greater truth beyond the material reality.;;;;;;;;;;;;;x
EVTOPT_yatra;Let there be fair weather!;;;;;;;;;;;;;x

EVTTITLE_YATRABADRINATH;A Trip to Garwhal;;;;;;;;;;;;;x
EVTDESC_hindu33;Traveling to the Devbhumi in the high hill country of Garwhal, the local people are proud protectors of the temples dedicated to Lord Vishnu, known locally as Badrikashram, in the small town of Badrinath.;;;;;;;;;;;;;x
EVTOPT_hindu33;To Garwhal we depart!;;;;;;;;;;;;;x

EVTTITLE_YATRADWARKA;A Trip to Jamnagar;;;;;;;;;;;;;x
EVTDESC_hindu40;The City of Dwarka, is an ancient city situated where the Gomti river dispells its waters to the Gulf of Kutch this area has been a city decorated with temples and banners to the Compassionate Lord who was said to once ruled an ancient kingdom in the misty past of this storied land.;;;;;;;;;;;;;x
EVTOPT_hindu40;To Jamnagar we depart!;;;;;;;;;;;;;x

EVTTITLE_YATRAJAGANNATH;A Trip to Puri;;;;;;;;;;;;;x
EVTDESC_hindu47;The City of Puri, built by the legendary King Indradyumna, son of the Solar Dynasty spoken of in the Mahabharata and the puranas, and the radiance of those days still shine in the stone halls and incense burning in honor of the many ancient lords who have been cared for being the local Odia people.;;;;;;;;;;;;;x
EVTOPT_hindu47;To Puri we depart!;;;;;;;;;;;;;x

EVTTITLE_YATRARAMESWARAM;A Trip to Ramanathapuram;;;;;;;;;;;;;x
EVTDESC_hindu54;The City of Ramanathapuram stands proudly against the rising tides bashing the coast of Tamil Nadu. It is said the city once bore witness to Lord Shiva known to the Tamils as Lord Rama wielding his mighty trishula to summon forth a radiant bridge so he could save Sita from the dastardly Ravana from his fortress in Lanka.;;;;;;;;;;;;;x
EVTOPT_hindu54;To Ramanathapuram we depart!;;;;;;;;;;;;;x

EVTDESC_yatrahome;Walking back through the familiar gates of my castle, I can't help but feel fulfilled. I have travelled across the land, and returned renewed in faith and splendor.;;;;;;;;;;;;;x
EVTOPT_yatrahome;I have gained a greater understanding...;;;;;;;;;;;;;x

EVTDESC_hindu35;As you approach the Hill Country you hear a local ascetic pass by you discussing a passage of the Bhumikhanda a set from the larger Padma Purana known widely across the subcontinent containing praise to Lord Vishnu as recorded by Lord Brahman.;;;;;;;;;;;;;x
EVTOPT_read_padmapurana;Perhaps this is a sign?;;;;;;;;;;;;;x
EVTOPT_noread_padmapurana;I heard these stories many times...;;;;;;;;;;;;;x
EVTDESC_hindu36;A beggar came before you requesting your kind patronage, this is a common sight among the subcontinent where wondering ascetics would go to great lengths to find answers within the divine.;;;;;;;;;;;;;x
EVTOPT_chardhamkindpatron;It is my duty as a pious hindu.;;;;;;;;;;;;;x
EVTOPT_chardhamzealous;I must focus on the trail.;;;;;;;;;;;;;x
EVTTITLE_CHARDHAMBADRINATHARRIVED;The Black-Stone Badrinarayan;;;;;;;;;;;;;x
EVTDESC_chardhambadrinath;You have spent quite some time in the town watching the procession of the Shaligram said to be embued with the essense of Lord Vishnu known locally as Badrinath. Many legends abound on the deeds Lord Vishnu did while he was in Garhwal chief among which it was said having been chastised by Narada Muni, he meditated deeply having only been awaken by the devotion of his wife Lakshmi who turned into a Badri Tree hence forth giving the name to the temple dedicated to the meditative lord.;;;;;;;;;;;;;x
EVTOPT_chardhambadrinath;I shall devote myself as Lakshmi did.;;;;;;;;;;;;;x

EVTDESC_hindu42;As you approach Dwarka you hear a local ascetic pass by you praising Lord Krishna for his endless compassion even motioning to a re-enact some iconic scenes of Lord Krishna exploits found in Mahabharata.;;;;;;;;;;;;;x
EVTOPT_read_bhagavad_gita;Is this is a sign?;;;;;;;;;;;;;x
EVTOPT_noread_bhagavad_gita;I heard these stories many times...;;;;;;;;;;;;;x
EVTDESC_hindu43;A beggar came before you requesting your kind patronage, this is a common sight among the subcontinent where wondering ascetics would go to great lengths to find answers within the divine.;;;;;;;;;;;;;x
EVTOPT_chardhamkindpatron;It is my duty as a pious hindu.;;;;;;;;;;;;;x
EVTOPT_chardhamzealous;I must focus on the trail.;;;;;;;;;;;;;x
EVTTITLE_CHARDHAMDWARKAARRIVED;The Compassionate Lord;;;;;;;;;;;;;x
EVTDESC_chardhamdwarka;You have spent many days slowly making your way to the many temples dedicated to Lord Krishna across Dwarka. You finally make your way to the ancient temple at the water front of Dwarka, its terraced stone floors a mighty sight indeed. Many legends abound on the deeds of Lord Krishna including here in Dwarka where he lifted the land where the city now stands so his radiant Rukmini may not touch the sea. It is said that Dwarka was also his seat of power as Lord of an ancient Kingdom of the same name as seen in the Mahabharata.;;;;;;;;;;;;;x
EVTOPT_chardhamdwarka;I shall open my heart to him!;;;;;;;;;;;;;x

EVTDESC_hindu49;As you approach Puri you hear a local ascetic pass by you reveling in the majesty of Jagannath claiming him an ancient lord which appears timelss and vast as an the pure emanation of chaitanya of the Para Brahman.;;;;;;;;;;;;;x
EVTOPT_read_bhagavad_gita;Is this is a sign?;;;;;;;;;;;;;x
EVTOPT_noread_bhagavad_gita;I heard these stories many times...;;;;;;;;;;;;;x
EVTDESC_hindu50;A beggar came before you requesting your kind patronage, this is a common sight among the subcontinent where wondering ascetics would go to great lengths to find answers within the divine.;;;;;;;;;;;;;x
EVTOPT_chardhamkindpatron;It is my duty as a pious hindu.;;;;;;;;;;;;;x
EVTOPT_chardhamzealous;I must focus on the trail.;;;;;;;;;;;;;x
EVTTITLE_CHARDHAMJAGANNATHARRIVED;The Cosmic Lord;;;;;;;;;;;;;x
EVTDESC_chardhamjagannath;The Temple of Puri is said to be an ancient temple built by the Solar Dynasty which once ruled all of India in the distant past. These days the city remains a city of Processions where the ancient Lords of the City would be paraded out on festival days to the adoration of their devotees. Chief among them is Jagannath who in the local tradition is said to have been the "Lord of the Universe" whose divine authority manifested as the Para Brahman. Though other argue that he is simply an avatar of Lord Vishnu, his role in the Communities of the Eastern Ghat is undisputed.;;;;;;;;;;;;;x
EVTOPT_chardhamjagannath;A splendorous display indeed.;;;;;;;;;;;;;x

EVTDESC_hindu56;As you approach Ramanathapuram you hear a local ascetic pass by you discussing ancient tales of Lord Rama which have long passed to reverant legends among the Tamil people, they beckon you to join them.;;;;;;;;;;;;;x
EVTOPT_read_bhagavad_gita;Is this is a sign?;;;;;;;;;;;;;x
EVTOPT_noread_bhagavad_gita;I heard these stories many times...;;;;;;;;;;;;;x
EVTDESC_hindu57;A beggar came before you requesting your kind patronage, this is a common sight among the subcontinent where wondering ascetics would go to great lengths to find answers within the divine.;;;;;;;;;;;;;x
EVTOPT_chardhamkindpatron;It is my duty as a pious hindu.;;;;;;;;;;;;;x
EVTOPT_chardhamzealous;I must focus on the trail.;;;;;;;;;;;;;x
EVTTITLE_CHARDHAMRAMESWARAMARRIVED;The Brave Lord;;;;;;;;;;;;;x
EVTDESC_chardhamrameswaram;The island of Rameswaram is all that is left of the echos a legendary conflict against the gods and demons of the Ancient past. It was said that the Lord of Dharma, Rama, an avatar of Lord Shiva, once forced a bridge to the Land of Lanka to banish Ravana who held his Sita in thier great fortress. Many have long seeked answers to what has since happened to the bridge, the most popular among the most devote claim that Ravana summoned great waves to rock its foundations pointing to the raging waters that churn between the Tamil Nadu coast and Sri Lanka.;;;;;;;;;;;;;x
EVTOPT_chardhamrameswaram;A proud tale indeed.;;;;;;;;;;;;;x

EVTDESC_hindu62;As you approach Varanasi you hear a local ascetic pass by you discussing ancient history of Varanasi, they beckon you to join them.;;;;;;;;;;;;;x
EVTDESC_hindu63;A beggar came before you requesting your kind patronage, this is a common sight among the subcontinent where wondering ascetics would go to great lengths to find answers within the divine.;;;;;;;;;;;;;x

#######Siddhar Content#######
title_court_siddhar;Court Siddhar;;;;;;;;;;;;;x
title_court_siddhar_desc;The Siddhar is a master of Siddha Medicine, responsible for the well-being of your court in many dimensions, both physical and spiritual. The Court Siddhar will attempt to diagnose and cure any ailments which affect your court. Court siddhars are typically learned individuals with education in medicinal and mystical arts.;;;;;;;;;;;;;x
employ_court_siddhar;Recruit Court Siddhar;;;;;;;;;;;;;x
employ_court_siddhar_desc;Send out messengers in order to find a candidate for the position of §YCourt Siddhar§!. You will likely have to pay the candidate in order to entice them to your court. If you already have a §YCourt Siddhar§! and choose to employ a new one, the old one will be resigned from his or her post.;;;;;;;;;;;;;x
employ_court_siddhar_tooltip;Ensure the entire realm knows you are looking for a candidate for the position of Court Siddhar.\n;;;;;;;;;;;;;x
EVTDESC_HINDU_100;You have sent messengers throughout the lands of the[root.religion.GetName] faithful, searching every village and temple for a wise and experiecned Siddhar for your court. One who can balance the three humors: Vaadham, Pittham and Kapam;;;;;;;;;;;;;x
EVTOPTA_HINDU_100;I hope I do not have to wait long.;;;;;;;;;;;;;x
EVTOPTA_HINDU_103;I have changed my mind, I do not require [recruited_physician_target.GetHerHis] services.;;;;;;;;;;;;;x
EVTDESC_HINDU_103_VILLAGE_SIDDHAR;Your scouts inform you of a most skilled Siddhar residing in a nearby village. Even though [recruited_physician_target.GetSheHe] lacks any formal schooling, the villagers swear that [recruited_physician_target.GetSheHe] has been able to cure any ailment afflicting them. This '[recruited_physician_target.GetFullName]' could easily be persuaded to come take up residence in your court.;;;;;;;;;;;;;x
EVTOPTB_RIP_11053;I'm willing to take the risk.;;;;;;;;;;;;;x
